Node,mean,stdev
1320,8.330,0.315
1321,8.331,0.315
1322,8.331,0.315
1323,8.332,0.315
1324,8.332,0.315
1325,8.333,0.315
1326,8.333,0.316
1327,8.334,0.315
1328,8.334,0.315
1329,8.335,0.315
1330,8.335,0.315
1331,8.335,0.315
1332,8.335,0.315
1333,8.336,0.315
1334,8.336,0.315
1335,8.337,0.316
1336,8.337,0.315
1337,8.338,0.316
1338,8.339,0.316
1339,8.339,0.316
1340,8.339,0.316
1341,8.340,0.316
1342,8.340,0.315
1343,8.341,0.315
1344,8.341,0.315
1345,8.341,0.315
1346,8.341,0.316
1347,8.340,0.316
1348,8.340,0.316
1349,8.340,0.316
1350,8.340,0.316
1351,8.340,0.315
1352,8.340,0.316
1353,8.340,0.316
1354,8.340,0.316
1355,8.339,0.316
1356,8.339,0.316
1357,8.339,0.316
1358,8.339,0.316
1359,8.339,0.316
1360,8.339,0.316
1361,8.339,0.316
1362,8.339,0.316
1363,8.339,0.316
1364,8.338,0.316
1365,8.338,0.317
1366,8.338,0.317
1367,8.337,0.316
1368,8.337,0.316
1369,8.337,0.317
1370,8.336,0.317
1371,8.336,0.317
1372,8.336,0.317
1373,8.336,0.317
1374,8.335,0.317
1375,8.335,0.317
1376,8.335,0.317
1377,8.335,0.317
1378,8.336,0.317
1379,8.336,0.317
1380,8.339,0.317
1381,8.339,0.317
1382,8.339,0.317
1383,8.339,0.316
1384,8.339,0.316
1385,8.339,0.316
1386,8.339,0.316
1387,8.339,0.316
1388,8.340,0.316
1389,8.340,0.316
1390,8.340,0.317
1391,8.340,0.317
1392,8.340,0.317
1393,8.339,0.318
1394,8.339,0.318
1395,8.339,0.318
1396,8.339,0.318
1397,8.340,0.319
1398,8.339,0.319
1399,8.339,0.319
1400,8.339,0.319
